City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
166,new norfolk,-42.7826,147.0587,10.95,79,99,3.06,AU,1713914316
167,pontal do parana,-25.6533,-48.5128,22.71,87,30,1.21,BR,1713914499
168,tiksi,71.6872,128.8694,-10.06,86,100,4.84,RU,1713914159
169,vilyuchinsk,52.9306,158.4028,8.15,60,24,4.22,RU,1713914134
170,debre mark'os,10.35,37.7333,15.99,34,33,2.15,ET,1713914500
171,whitehorse,60.7161,-135.0538,9.45,42,75,2.06,CA,1713914174
172,hanzhong,33.0728,107.0303,14.27,62,80,0.73,CN,1713914500
173,malango,-2.9627,119.9001,21.76,89,83,0.58,ID,1713914279
174,nasugbu,14.1,120.6833,28.76,72,10,3.03,PH,1713914501
175,kapuskasing,49.4169,-82.4331,-2.95,59,75,8.23,CA,1713914225
176,la passe,45.5549,-0.8967,11.1,83,65,3.68,FR,1713914134
177,aripuana,-9.1667,-60.6333,24.91,96,88,0.71,BR,1713914502
178,saint-joseph,-21.3667,55.6167,23.21,84,16,2.29,RE,1713914502
179,vadso,70.0744,29.7487,0.09,80,100,5.66,NO,1713914165
180,maragogi,-9.0122,-35.2225,26.95,80,46,2.99,BR,1713914502
181,gaiman,-43.2897,-65.4929,9.55,45,11,4.36,AR,1713914307
182,achinsk,56.2694,90.4993,-5.72,84,19,3.08,RU,1713914503
183,valparaiso,-33.0393,-71.6273,17.78,60,0,3.6,CL,1713914503
184,wailua homesteads,22.0669,-159.378,27.24,77,40,8.23,US,1713914126
185,mogocha,53.7333,119.7667,2.58,74,81,0.75,RU,1713914504
186,coyhaique,-45.5752,-72.0662,2.97,87,40,1.03,CL,1713914504
187,kapa'a,22.0752,-159.319,27.99,77,40,8.23,US,1713914243
188,sinfin,52.8814,-1.4919,7.87,73,40,2.06,GB,1713914505
189,udachny,66.4167,112.4,-4.75,95,99,6.98,RU,1713914139
190,sao jose da coroa grande,-8.8978,-35.1478,27.04,81,57,2.94,BR,1713914505
191,daphne,30.6035,-87.9036,22.97,59,0,3.6,US,1713914505
192,zaysan,47.4667,84.8667,8.13,49,6,3.08,KZ,1713914506
193,sheopur,25.6667,76.7,28.17,21,35,4.02,IN,1713914323
194,bredasdorp,-34.5322,20.0403,15.74,96,100,0.57,ZA,1713914128
195,oranjemund,-28.55,16.4333,14.79,94,83,2.2,NA,1713914507
196,tsiombe,-25.3,45.4833,20.21,86,12,2.99,MG,1713914152
197,morehead city,34.7229,-76.726,17.01,52,0,4.12,US,1713914167
198,afaahiti,-17.75,-149.2833,29.93,78,9,4.99,PF,1713914131
199,ushuaia,-54.8,-68.3,3.81,87,0,3.09,AR,1713914145
200,sakaraha,-22.9,44.5333,18.58,76,15,0.94,MG,1713914508
201,ancud,-41.8697,-73.8203,10.41,82,99,2.36,CL,1713914195
202,kayangel,8.0823,134.7173,28.18,81,100,5.43,PW,1713914508
203,okhotsk,59.3833,143.3,-1.29,94,100,1.94,RU,1713914509
204,ust-nera,64.5667,143.2,0.2,89,98,1.29,RU,1713914219
205,nar'yan-mar,67.6713,53.087,-13.27,84,15,3.58,RU,1713913983
206,enewetak,11.3474,162.3373,27.63,82,100,8.67,MH,1713914143
207,niquelandia,-14.4739,-48.4597,26.41,61,69,1.06,BR,1713914510
208,nagqu,31.5,92.0,-2.26,57,98,2.37,CN,1713914129
209,christchurch,-43.5333,172.6333,20.85,54,75,1.03,NZ,1713913845
210,atafu village,-8.5421,-172.5159,29.57,74,26,4.41,TK,1713914202
211,danilovka,50.3557,44.1168,9.32,78,0,4.43,RU,1713914510
212,igarra,7.2827,6.0878,26.14,81,51,2.82,NG,1713914511
213,barro alto,-11.7608,-41.9117,25.0,66,99,3.77,BR,1713914511
214,bel ombre,-4.6167,55.4167,27.91,83,20,3.09,SC,1713914336
215,khandyga,62.6667,135.6,4.39,93,100,2.61,RU,1713914268
216,kismayo,-0.3582,42.5454,27.81,85,100,3.95,SO,1713914322
217,flin flon,54.7682,-101.865,6.91,39,0,3.09,CA,1713914514
218,suntar,62.1444,117.6319,-0.09,92,100,3.97,RU,1713914515
219,tangalle,6.024,80.7911,26.51,85,94,0.64,LK,1713914515
220,hilo,19.7297,-155.09,27.93,79,40,5.66,US,1713914515
221,olonkinbyen,70.9221,-8.7187,0.36,76,0,1.22,SJ,1713914131
222,elverum,60.8819,11.5623,0.2,83,100,1.75,NO,1713914515
223,katabu,-4.9333,122.5167,25.76,92,53,2.1,ID,1713914247
224,usinsk,65.9939,57.5281,-10.52,82,5,8.94,RU,1713914209
225,utrik,11.2278,169.8474,27.14,84,76,9.46,MH,1713914175
226,mossel bay,-34.1831,22.146,15.96,93,100,0.85,ZA,1713914276
227,grunberg,50.594,8.9587,4.33,81,50,1.15,DE,1713914516
228,fada,9.5667,8.3,25.95,59,74,1.01,NG,1713914517
229,sierra grande,-41.606,-65.3557,10.37,35,1,4.26,AR,1713914517
230,ghat,24.9647,10.1728,24.56,22,12,3.05,LY,1713914254
231,island harbour,50.724,-1.2758,8.85,80,60,0.89,GB,1713914517
232,zhezqazghan,47.7833,67.7667,16.15,29,100,4.8,KZ,1713914518
233,taulaga,-11.0553,-171.0883,29.62,75,38,4.34,AS,1713914191
234,magadan,59.5667,150.8,-3.59,92,89,0.75,RU,1713914283
235,iskateley,67.6803,53.1512,-13.32,84,15,3.58,RU,1713914210
236,vila velha,-20.3297,-40.2925,26.08,90,0,3.09,BR,1713914519
237,porto novo,6.4965,2.6036,27.9,73,100,2.38,BJ,1713914185
238,monrovia,6.3005,-10.7969,26.87,85,38,2.79,LR,1713914438
239,yemetsk,63.4721,41.7941,1.5,97,100,3.2,RU,1713914519
240,bodaybo,57.8506,114.1933,1.07,94,100,1.07,RU,1713914520
241,shengli,37.4564,118.4856,11.99,68,0,0.2,CN,1713914520
242,murzuq,25.9155,13.9184,24.39,19,43,4.72,LY,1713914247
243,dudinka,69.4058,86.1778,-10.74,87,65,6.26,RU,1713914144
244,dul'durga,50.6761,113.5931,0.92,51,44,2.98,RU,1713914521
245,kudahuvadhoo,2.6708,72.8944,29.07,76,98,5.82,MV,1713914522
246,anadyr,64.75,177.4833,-8.72,92,100,16.0,RU,1713914165
247,princeville,45.7668,-61.2985,4.31,66,40,4.12,CA,1713914226
248,newport,51.5877,-2.9984,9.3,76,46,1.35,GB,1713914263
249,al kharijah,25.4514,30.5464,27.53,12,0,2.5,EG,1713914523
250,kone,-21.0595,164.8658,27.66,76,39,1.66,NC,1713914273
251,floro,61.5996,5.0328,3.98,70,40,6.17,NO,1713914523
252,vostochnyy,55.8167,37.8667,6.17,58,27,2.05,RU,1713914524
253,kermit,31.8576,-103.0927,33.91,15,0,0.0,US,1713914525
254,quellon,-43.1167,-73.6167,9.51,79,100,5.12,CL,1713914525
255,akbarabad,29.2464,52.7793,13.79,66,0,1.82,IR,1713914526
256,rio brilhante,-21.8019,-54.5464,25.46,49,4,1.93,BR,1713914281
257,tyukhtet,56.5389,89.3011,-9.26,77,24,2.84,RU,1713914526
258,tera,14.0078,0.7531,36.29,26,99,3.02,NE,1713914526
259,luena,-11.7833,19.9167,17.71,76,99,1.54,AO,1713914527
260,puerto baquerizo moreno,-0.9,-89.6,24.57,85,94,4.16,EC,1713914142
261,lathi,21.7167,71.3833,26.73,50,0,4.84,IN,1713914527
262,betio village,1.358,172.9211,32.02,75,56,6.88,KI,1713914527
263,north battleford,52.7834,-108.2847,19.11,16,20,4.12,CA,1713914528
264,nova sintra,14.8667,-24.7167,19.52,75,10,5.32,CV,1713914528
265,la ronge,55.1001,-105.2842,16.12,20,20,7.72,CA,1713914292
266,qamdo,31.1667,97.2333,-1.17,80,100,2.02,CN,1713914320
267,awjilah,29.1081,21.2869,17.97,73,99,8.92,LY,1713914528
268,lawas,13.764,121.0566,28.53,78,11,3.38,PH,1713914529
269,happy valley-goose bay,53.3168,-60.3315,2.17,64,75,2.06,CA,1713914229
270,howrah,22.5892,88.3103,29.0,61,20,2.57,IN,1713914187
271,el calafate,-50.3408,-72.2768,5.43,77,100,2.18,AR,1713914530
272,qandala,11.472,49.8728,29.19,68,6,1.68,SO,1713914292
273,bardai,11.65,7.2333,30.24,35,100,1.93,NG,1713914225
274,daru,-9.0763,143.2092,27.74,86,93,4.69,PG,1713914272
275,nova vicosa,-17.8919,-39.3719,25.19,84,2,2.67,BR,1713914342
276,kesinga,20.2,83.2333,29.76,42,18,1.17,IN,1713914531
277,yaren,-0.5472,166.916,28.91,78,96,4.64,NR,1713914154
278,birnin kebbi,12.4539,4.1975,34.96,28,61,3.45,NG,1713914450
279,novohrad-volynskyi,50.5941,27.6165,7.07,89,100,4.65,UA,1713914532
280,taroa,8.7058,171.2275,27.81,85,93,9.9,MH,1713914532
281,trinity beach,-16.7888,145.6968,27.23,93,75,6.17,AU,1713914532
282,boca suno,-0.7167,-77.1333,24.23,94,83,0.97,EC,1713914532
283,cidreira,-30.1811,-50.2056,23.13,87,2,2.33,BR,1713914331
284,shache,38.4167,77.2406,19.53,30,100,2.14,CN,1713914533
285,al mijlad,11.0333,27.7333,28.84,8,25,5.83,SD,1713914377
286,polyarnyy,69.1989,33.4478,0.87,94,66,5.82,RU,1713914192
287,berriane,32.8265,3.7669,22.45,27,59,7.19,DZ,1713914534
288,port blair,11.6667,92.75,27.02,89,20,1.03,IN,1713914534
289,sao gabriel da cachoeira,-0.1303,-67.0892,24.21,98,91,1.12,BR,1713914534
290,aasiaat,68.7098,-52.8699,-1.79,95,14,1.28,GL,1713914125
291,misratah,32.3754,15.0925,16.18,70,100,5.35,LY,1713914535
292,papao,-17.75,-149.55,30.82,72,5,2.45,PF,1713914331
293,moyynkum,44.2914,72.9469,14.87,76,79,3.4,KZ,1713914536
294,borovskoy,53.8,64.15,5.75,72,17,6.8,KZ,1713914536
295,laguna,38.421,-121.4238,21.75,56,75,4.12,US,1713914282
296,sunyani,7.3399,-2.3268,22.71,95,100,1.27,GH,1713914537
297,nadi,-17.8,177.4167,31.0,70,40,3.6,FJ,1713914538
298,klyuchi,52.2667,79.1667,0.73,52,27,2.97,RU,1713914244
299,umm kaddadah,13.6017,26.6876,27.09,10,31,4.97,SD,1713914539
300,motomachi,43.8228,144.1044,9.01,66,20,7.72,JP,1713914539
